timestamp,vehicle_id,tyre_id,tyre_position,manufacture_date,tyre_age_days,distance_km,pressure_psi,temperature_c,vibration,speed_kmh,road_condition,weather_condition,vehicle_load_kg,braking_intensity,pressure_change,temperature_change,wear_ratio,abrasion_rate_mg_km,microplastic_g_per_km,dust_pm25_ug_m3,tyre_health_status,remaining_life_km
2026-07-28 15:32:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9075.26,34.77,39.25,0.288,24.78,GOOD,WET,387.7,0.003,-0.022,1.455,0.1513,27.529,0.01652,4.129,HEALTHY,51694.1
2026-07-28 15:42:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9077.96,34.49,37.61,0.209,16.22,GOOD,SNOW,442.5,0.053,-0.275,-1.642,0.1513,23.95,0.01437,3.592,HEALTHY,49996.91
2026-07-28 15:52:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9087.05,34.48,40.16,0.155,54.5,GOOD,RAIN,508.0,0.166,-0.012,2.548,0.1515,113.768,0.06826,17.065,HEALTHY,50523.76
2026-07-28 16:02:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9101.65,34.46,45.17,0.219,87.6,GOOD,DRY,431.0,0.03,-0.023,5.011,0.1517,219.751,0.13185,32.963,HEALTHY,50201.64
2026-07-28 16:12:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9105.22,34.44,46.59,0.287,21.43,ROUGH,WET,360.2,0.059,-0.017,1.428,0.1518,25.231,0.01514,3.785,HEALTHY,51260.4
2026-07-28 16:22:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9116.37,34.44,50.42,0.106,66.93,GOOD,DRY,433.3,0.009,-0.0,3.824,0.1519,119.802,0.07188,17.97,HEALTHY,50485.81
2026-07-28 16:32:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9130.31,34.41,55.99,0.146,83.61,NORMAL,RAIN,446.3,0.316,-0.027,5.575,0.1522,252.051,0.15123,37.808,HEALTHY,50722.89
2026-07-28 16:42:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9145.18,34.4,62.29,0.228,89.24,NORMAL,DRY,474.0,0.124,-0.011,6.299,0.1524,292.648,0.17559,43.897,HEALTHY,50555.88
2026-07-28 16:52:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9153.42,34.39,64.69,0.196,49.41,GOOD,WET,370.2,0.006,-0.013,2.394,0.1526,69.816,0.04189,10.472,ATTENTION,50440.43
2026-07-28 17:02:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9170.23,34.38,71.26,0.297,100.89,GOOD,WET,441.4,0.116,-0.006,6.572,0.1528,308.777,0.18527,46.317,ATTENTION,49710.01
2026-07-28 17:12:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9182.04,34.38,75.63,0.179,70.86,GOOD,DRY,457.2,0.03,-0.007,4.37,0.153,156.83,0.0941,23.525,ATTENTION,49299.15
2026-07-28 17:22:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9191.78,34.38,79.71,0.215,58.45,ROUGH,DRY,369.3,0.156,-0.0,4.082,0.1532,148.561,0.08914,22.284,WARNING,47823.88
2026-07-28 17:32:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9209.1,34.37,85.35,0.16,103.9,GOOD,DRY,404.7,0.028,-0.007,5.641,0.1535,253.132,0.15188,37.97,WARNING,47742.79
2026-07-28 17:42:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9217.11,34.34,87.72,0.196,48.08,NORMAL,WET,371.2,0.008,-0.03,2.369,0.1536,67.425,0.04045,10.114,WARNING,47939.36
2026-07-28 17:52:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9227.68,34.33,91.38,0.154,63.4,NORMAL,WET,400.3,0.038,-0.013,3.663,0.1538,103.598,0.06216,15.54,WARNING,47499.19
2026-07-28 18:02:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9234.11,34.32,95.05,0.173,38.56,NORMAL,DRY,378.9,0.205,-0.012,3.664,0.1539,81.993,0.0492,12.299,WARNING,47256.85
2026-07-28 18:12:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9251.39,34.29,101.11,0.253,103.68,ROUGH,DRY,416.4,0.062,-0.021,6.057,0.1542,312.049,0.18723,46.807,CRITICAL,45715.58
2026-07-28 18:22:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9263.65,34.29,104.67,0.138,73.56,NORMAL,WET,288.9,0.066,-0.006,3.561,0.1544,134.923,0.08095,20.238,CRITICAL,46505.98
2026-07-28 18:32:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9268.78,33.99,103.86,0.316,30.79,ROUGH,SNOW,418.3,0.245,-0.298,-0.805,0.1545,99.008,0.0594,14.851,CRITICAL,44204.46
2026-07-28 18:42:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9282.46,33.98,113.87,0.05,82.08,GOOD,RAIN,501.8,1.0,-0.009,10.005,0.1547,479.015,0.28741,71.852,CRITICAL,42995.14
2026-07-28 18:52:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9288.86,33.97,116.57,0.336,38.4,GOOD,WET,411.1,0.064,-0.009,2.699,0.1548,65.741,0.03944,9.861,CRITICAL,44896.75
2026-07-28 19:02:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9301.49,33.96,120.0,0.372,75.79,ROUGH,DRY,337.4,0.355,-0.013,3.434,0.155,358.056,0.21483,53.708,CRITICAL,44436.96
2026-07-28 19:12:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9312.31,33.93,120.0,0.236,64.91,NORMAL,WET,333.8,0.002,-0.03,0.0,0.1552,109.939,0.06596,16.491,CRITICAL,44460.24
2026-07-28 19:22:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9325.16,33.74,120.0,0.193,77.12,NORMAL,SNOW,315.2,0.016,-0.188,0.0,0.1554,213.027,0.12782,31.954,CRITICAL,42806.43
2026-07-28 19:32:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9332.17,33.72,120.0,0.227,42.05,GOOD,DRY,481.8,0.019,-0.025,0.0,0.1555,76.635,0.04598,11.495,CRITICAL,45491.38
2026-07-28 19:42:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9340.78,33.72,120.0,0.167,51.66,GOOD,WET,327.8,0.004,-0.0,0.0,0.1557,71.678,0.04301,10.752,CRITICAL,44523.85
2026-07-28 19:52:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9346.41,33.69,120.0,0.175,33.79,NORMAL,DRY,512.4,0.008,-0.029,0.0,0.1558,52.002,0.0312,7.8,CRITICAL,44876.24
2026-07-28 20:02:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9350.61,33.67,120.0,0.178,25.17,NORMAL,DRY,433.7,0.168,-0.014,0.0,0.1558,42.616,0.02557,6.392,CRITICAL,43925.89
2026-07-28 20:12:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9358.89,33.53,120.0,0.296,49.69,GOOD,SNOW,433.5,0.251,-0.138,0.0,0.156,203.994,0.1224,30.599,CRITICAL,43404.98
2026-07-28 20:22:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9369.27,33.52,120.0,0.211,62.29,NORMAL,DRY,372.7,0.123,-0.013,0.0,0.1562,153.355,0.09201,23.003,CRITICAL,44829.66
2026-07-28 20:32:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9387.22,33.5,120.0,0.18,107.69,GOOD,WET,423.7,0.007,-0.017,0.0,0.1565,227.963,0.13678,34.194,CRITICAL,43742.38
2026-07-28 20:42:23.251603,VEH_001,VEH_001_FL,FL,2024-03-20,890,9400.38,33.5,120.0,0.181,78.98,GOOD,DRY,442.4,0.052,-0.001,0.0,0.1567,191.614,0.11497,28.742,CRITICAL,44751.68
